ligand_pose	Vdw
ligand_pose_702	-738.7309
ligand_pose_703	366.3181
ligand_pose_704	-634.9294
ligand_pose_705	6670.5673
ligand_pose_706	1057812.4338
ligand_pose_707	1647.7937
ligand_pose_708	6028.7067
ligand_pose_709	5123.6628
ligand_pose_710	4803732.0977
ligand_pose_711	-388.7631
ligand_pose_712	5192.825
ligand_pose_713	8224822.2063
ligand_pose_714	2856834.9695
ligand_pose_715	2408382576219.99
ligand_pose_716	14958.0658
ligand_pose_717	125820907.9807
ligand_pose_718	7332395254.0972
ligand_pose_719	687497.2294
ligand_pose_720	18794.04
ligand_pose_721	983771.5692
ligand_pose_722	28781140.561
ligand_pose_723	6838420.34
ligand_pose_724	772171.012
ligand_pose_725	311412.0613
ligand_pose_726	87108.4847
ligand_pose_727	349153.6938
ligand_pose_728	413921.877
ligand_pose_729	130544.8847
ligand_pose_730	85234.2111
ligand_pose_731	320370.9115
ligand_pose_732	96976.0558
ligand_pose_733	985.1248
ligand_pose_734	15598.261
ligand_pose_735	5388.5709
ligand_pose_736	-638.4015
ligand_pose_737	-622.0943
ligand_pose_738	-219.8181
ligand_pose_739	1034.6176
ligand_pose_740	23484.0236
ligand_pose_741	-629.4727
ligand_pose_742	-910.2491
ligand_pose_743	-981.5744
ligand_pose_744	15329.3607
ligand_pose_745	2365371.8147
ligand_pose_746	35896.0179
ligand_pose_747	33926.4424
ligand_pose_748	2172552.1703
ligand_pose_749	290.3813
ligand_pose_750	820.8869
ligand_pose_751	27238.3499
ligand_pose_752	1843793.0501
ligand_pose_753	3297505904.0948
ligand_pose_754	615154.583
ligand_pose_755	12019.4225
ligand_pose_756	114740.4606
ligand_pose_757	-287.2531
ligand_pose_758	8266.8635
ligand_pose_759	81421.8933
ligand_pose_760	391005.0913
ligand_pose_761	46073014.0924
ligand_pose_762	1799.4384
ligand_pose_763	4572.5169
ligand_pose_764	4864.6259
ligand_pose_765	-881.646
ligand_pose_766	-828.2966
ligand_pose_767	-642.9498
ligand_pose_768	88.2293
ligand_pose_769	3038.7367
ligand_pose_770	-368.8745
ligand_pose_771	-947.9296
ligand_pose_772	-982.9589
ligand_pose_773	546770.8262
ligand_pose_774	1524478.5416
ligand_pose_775	106673832.2626
ligand_pose_776	24793671.4545
ligand_pose_777	5512.4441
ligand_pose_778	70080.408
ligand_pose_779	454113.5758
ligand_pose_780	381371.2927
ligand_pose_781	124540.7805
ligand_pose_782	224608.8802
ligand_pose_783	23853.908
ligand_pose_784	308.2589
ligand_pose_785	660.7296
ligand_pose_786	174026.4216
ligand_pose_787	3107256038.8642
ligand_pose_788	19359650444.0872
ligand_pose_789	403876.8111
ligand_pose_790	34311568.724
ligand_pose_791	3611766168.0231
ligand_pose_792	38717676.421
ligand_pose_793	128280.7191
ligand_pose_794	1813786.0213
ligand_pose_795	11002.6722
ligand_pose_796	69496.1648
ligand_pose_797	363.0898
ligand_pose_798	186.5319
ligand_pose_799	-319.126
ligand_pose_800	5315020.3114
ligand_pose_801	108312.0997
ligand_pose_802	-864.2612
ligand_pose_803	-322.7027
ligand_pose_804	6264.031
ligand_pose_805	159862.0358
ligand_pose_806	19928030.4561
ligand_pose_807	358.0585
ligand_pose_808	-569.1512
ligand_pose_809	19310.369
ligand_pose_810	20999.1182
ligand_pose_811	50953678.2002
ligand_pose_812	-415.2509
ligand_pose_813	211192.3723
ligand_pose_814	214947.7706
ligand_pose_815	1345726184700.0154
ligand_pose_816	-424.7314
ligand_pose_817	7920.4136
ligand_pose_818	10205.4982
ligand_pose_819	19188.8298
ligand_pose_820	27952.4128
ligand_pose_821	86692414.6123
ligand_pose_822	8351553.4027
ligand_pose_823	363505.5747
ligand_pose_824	427618.6875
ligand_pose_825	100931.3327
ligand_pose_826	101205.1505
ligand_pose_827	846916.7475
ligand_pose_828	35483.8948
ligand_pose_829	42051.9371
ligand_pose_830	332004195.9833
ligand_pose_831	515839.282
ligand_pose_832	4390.9928
ligand_pose_833	12926.455
ligand_pose_834	16777.1595
ligand_pose_835	5402.6578
ligand_pose_836	958.7398
ligand_pose_837	582.1356
ligand_pose_838	-341.8055
ligand_pose_839	620689.1191
ligand_pose_840	184250.795
ligand_pose_841	97678.4143
ligand_pose_842	18274.0983
ligand_pose_843	-879.074
ligand_pose_844	-550.9765
ligand_pose_845	2611.0094
ligand_pose_846	126800.9812
ligand_pose_847	7168134.4212
ligand_pose_848	-429.2812
ligand_pose_849	-934.0319
ligand_pose_850	178597.1103
ligand_pose_851	146646.5868
ligand_pose_852	-895.7382
ligand_pose_853	-121.4621
ligand_pose_854	16355.0401
ligand_pose_855	332106.0836
ligand_pose_856	11686755.2018
ligand_pose_857	356.0326
ligand_pose_858	-849.5392
ligand_pose_859	-145.0647
ligand_pose_860	57645.8192
ligand_pose_861	21437.0169
ligand_pose_862	200116.3276
ligand_pose_863	83637651.1999
ligand_pose_864	14341383.5347
ligand_pose_865	280430820.2891
ligand_pose_866	436171858.6794
ligand_pose_867	1689543.4307
ligand_pose_868	82633.2035
ligand_pose_869	13029.15
ligand_pose_870	58012.5637
ligand_pose_871	38807.7138
ligand_pose_872	6323.3659
ligand_pose_873	626.8052
ligand_pose_874	7474.2227
ligand_pose_875	98.9068
ligand_pose_876	-204.0679
ligand_pose_877	414.1635
ligand_pose_878	5198.0323
ligand_pose_879	2674.3045
ligand_pose_880	-840.1214
ligand_pose_881	-3.9803
ligand_pose_882	-926.5307
ligand_pose_883	-905.7526
ligand_pose_884	-918.2284
ligand_pose_885	-518.6838
ligand_pose_886	5714.1386
ligand_pose_887	209496.947
ligand_pose_888	-816.948
ligand_pose_889	-967.9724
ligand_pose_890	19284.8948
ligand_pose_891	41721.9126
ligand_pose_892	97514.1083
ligand_pose_893	572463.1886
ligand_pose_894	38997.7266
ligand_pose_895	-858.7294
ligand_pose_896	-409.6482
ligand_pose_897	4896.9609
ligand_pose_898	437514.4315
ligand_pose_899	784818132.0155
ligand_pose_900	515.428
ligand_pose_901	-725.2413
ligand_pose_902	30184.5547
ligand_pose_903	14865.0349
ligand_pose_904	3598.6555
ligand_pose_905	190505.915
ligand_pose_906	1256.5219
ligand_pose_907	94837.3957
ligand_pose_908	5925.1111
ligand_pose_909	36848.5091
ligand_pose_910	2555.3633
ligand_pose_911	47856.2433
ligand_pose_912	14309256.7998
ligand_pose_913	3716.1406
ligand_pose_914	2168.1867
ligand_pose_915	15661.1086
ligand_pose_916	238132.0917
ligand_pose_917	13017.1214
ligand_pose_918	52821.2523
ligand_pose_919	6271.3832
